Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,64.38339024
Gabon,GAB,"Population, total",SP.POP.TOTL,2014,YR2014,1687673
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,440.3703892
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,60.22843902
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2014,YR2014,1928201
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4429.650075
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,74.66863415
Georgia,GEO,"Population, total",SP.POP.TOTL,2014,YR2014,3727000
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,47902.65288
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,80.84390244
Germany,DEU,"Population, total",SP.POP.TOTL,2014,YR2014,80982500
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1441.636453
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,61.31163415
Ghana,GHA,"Population, total",SP.POP.TOTL,2014,YR2014,26786598
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
Gibraltar,GIB,"Population, total",SP.POP.TOTL,2014,YR2014,31997
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,21673.78107
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.28536585
Greece,GRC,"Population, total",SP.POP.TOTL,2014,YR2014,10892413
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,43364.88285
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
Greenland,GRL,"Population, total",SP.POP.TOTL,2014,YR2014,56295
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,8570.663396
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,73.36631707
Grenada,GRD,"Population, total",SP.POP.TOTL,2014,YR2014,106349
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,79.12602439
Guam,GUM,"Population, total",SP.POP.TOTL,2014,YR2014,167543
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3666.579838
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,71.72241463
Guatemala,GTM,"Population, total",SP.POP.TOTL,2014,YR2014,16015494
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,539.615775
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,58.73343902
Guinea,GIN,"Population, total",SP.POP.TOTL,2014,YR2014,12275527
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,615.9396826
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,55.16004878
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2014,YR2014,1800513
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4028.163991
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,66.40641463
Guyana,GUY,"Population, total",SP.POP.TOTL,2014,YR2014,763893
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,831.5905217
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,62.74743902
Haiti,HTI,"Population, total",SP.POP.TOTL,2014,YR2014,10572029
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,2434.280046
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,73.13570732
Honduras,HND,"Population, total",SP.POP.TOTL,2014,YR2014,7961680
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,40215.48965
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,83.9804878
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,2014,YR2014,7241700
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,14117.97668
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.87317073
Hungary,HUN,"Population, total",SP.POP.TOTL,2014,YR2014,9866468
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,52036.73181
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,82.06097561
Iceland,ISL,"Population, total",SP.POP.TOTL,2014,YR2014,327386
